56,57,148,148,148,148,148,147,147,148,148,148,148,148,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
32,33,147,147,147,147,147,147,147,147,147,147,147,147,34,35,32,33,147,147,147,147,147,147,147,147,147,147,147,147,34,35,32,33,147,147,147,147,147,147,147,147,147,147,147,147,34,35
36,37,147,129,147,147,147,147,147,147,147,129,129,147,38,39,36,37,147,145,147,147,145,147,147,146,147,146,147,147,38,39,36,37,147,147,147,147,147,147,147,147,147,147,147,147,38,39
40,41,147,147,147,147,147,147,147,147,147,147,147,147,42,43,40,41,147,147,147,147,147,147,147,147,147,147,147,147,42,43,40,41,147,147,129,129,147,147,147,147,129,129,147,147,42,43
44,45,147,147,147,147,147,129,129,147,147,147,147,147,46,47,44,45,147,145,147,147,145,147,147,146,147,147,147,147,46,47,44,45,147,147,129,129,147,147,147,147,129,129,147,147,46,47
48,49,147,147,147,147,147,147,147,147,147,147,147,147,50,51,48,49,147,147,147,147,147,147,147,147,147,147,147,147,50,51,48,49,147,147,129,129,147,147,147,147,129,129,147,147,50,51
52,53,147,129,129,147,147,147,147,147,147,129,129,147,54,55,52,53,147,145,147,147,145,147,147,146,147,146,147,147,54,55,52,53,147,147,147,147,147,147,147,147,147,147,147,147,54,55
56,57,147,147,147,147,147,147,147,147,147,147,147,147,58,59,56,57,147,147,147,147,147,147,147,147,147,147,147,147,58,59,56,57,147,147,147,147,147,147,147,147,147,147,147,147,58,59
60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
